iter   i     a     b      Smsy      Emin
177 20 1.374618 120413.1 48884.03 19050.44
178 20 1.701605 84510.99 32305.49 19050.44
179 20 1.635608 63677.87 24646.35 19050.44
180 20 2.217195 51089.04 17644.9 14115.92
181 20 1.509656 112954.7 44750.81 19050.44
182 20 1.564483 90968.85 35678.56 19050.44
183 20 2.044995 59605.58 21312.37 17049.9
184 20 1.747185 72360.99 27422.21 19050.44
185 20 1.640775 86667.29 33511.86 19050.44
186 20 2.06003 62054.92 22121.71 17697.37
187 20 1.421406 174800.9 70371.64 19050.44
188 20 0.888679 30354449674 13377830344 19050.44
189 20 1.678096 86412.23 33179.45 19050.44
190 20 1.959143 68363.09 24863.11 19050.44
191 20 1.287137 286945.7 118305.3 19050.44
192 20 2.425507 48953.81 16200.09 12960.07
193 20 1.667452 74191.84 28544.46 19050.44
194 20 1.698751 66538.05 25448.84 19050.44
195 20 1.489181 108157.1 43010.7 19050.44
196 20 1.658733 90580.7 34907.14 19050.44
197 20 1.009871 188884.8 81627.7 19050.44
198 20 1.761442 88598.23 33484.16 19050.44
199 20 1.516197 98472.15 38966.34 19050.44
200 20 1.849977 73925.69 27466.32 19050.44
201 20 1.556272 58488.58 22974.43 18379.55
202 20 1.713218 105289.6 40159.84 19050.44
203 20 1.32784 69694.1 28529.44 19050.44
204 20 1.618716 95965.38 37260.7 19050.44
205 20 1.745686 70758.29 26822.52 19050.44
206 20 1.991231 63257.27 22860.84 18288.67
207 20 1.277769 86414.7 35686.45 19050.44
208 20 1.416397 152360.7 61392.92 19050.44
209 20 1.067251 470741.6 201511.6 19050.44
210 20 1.079062 339504.4 145046.5 19050.44
211 20 1.57098 104041.3 40756.61 19050.44
212 20 2.421986 49059.25 16246.81 12997.45
213 20 1.90052 46393.47 17068.19 13654.55
214 20 1.486639 89052.45 35429.8 19050.44
215 20 1.611037 73133 28436.25 19050.44
216 20 1.460491 100028.3 39986.21 19050.44
217 20 1.688665 106976 40993.34 19050.44
218 20 1.116091 213925.9 90829.6 19050.44
219 20 1.618669 100746.5 39117.4 19050.44
220 20 1.896318 69943.16 25753.26 19050.44
221 20 1.46587 90228.54 36033.58 19050.44
222 20 2.140731 73571.77 25806.14 19050.44
223 20 0.9734372 423248.6 184003 19050.44
224 20 1.283899 227288.2 93762.08 19050.44
225 20 1.538133 84979.21 33491.83 19050.44
226 20 2.043444 58219.13 20823.07 16658.46
227 20 1.78844 59770.62 22472.61 17978.09
228 20 1.251795 151866.1 63000.11 19050.44
